"","gender","age_group","education","familiarity","q"
"1","Male","Adults","college_educated","No",1.46153846153846
"2","Male","Adults","college_educated","No",2.07692307692308
"3","Male","Adults","college_educated","No",0.461538461538462
"4","Female","Youths","college_educated","No",1.61538461538462
"5","Male","Adults","college_educated","No",1
"6","Male","Adults","college_educated","No",2.15384615384615
"7","Male","Adults","college_educated","Yes",1.23076923076923
"8","Male","Youths","college_educated","Yes",1.07692307692308
"9","Male","Youths","college_educated","No",2.53846153846154
"10","Female","Adults","college_educated","No",0.307692307692308
"11","Male","Youths","college_educated","Yes",2.07692307692308
"12","Male","Youths","No_college","No",4
"13","Male","Adults","college_educated","No",2.23076923076923
"14","Male","Adults","college_educated","No",1.46153846153846
"15","Female","Adults","college_educated","No",1.38461538461538
"16","Female","Youths","college_educated","No",1.84615384615385
"17","Male","Adults","college_educated","Yes",2.07692307692308
"18","Male","Youths","college_educated","No",2.15384615384615
"19","Male","Adults","college_educated","Yes",0.923076923076923
"20","Male","Youths","No_college","No",2
"21","Male","Elderly","college_educated","Yes",0.538461538461538
"22","Female","Youths","college_educated","No",0.692307692307692
"23","Female","Adults","college_educated","No",1.53846153846154
"24","Female","Adults","college_educated","No",0.384615384615385
"25","Male","Adults","college_educated","No",1
"26","Female","Youths","college_educated","No",1.61538461538462
"27","Male","Youths","college_educated","No",2.53846153846154
"28","Male","Adults","college_educated","Yes",1.61538461538462
"29","Male","Youths","college_educated","Yes",1.69230769230769
"30","Male","Adults","college_educated","No",2.46153846153846
"31","Female","Adults","college_educated","No",1.61538461538462
"32","Male","Adults","college_educated","Yes",1.30769230769231
"33","Male","Youths","college_educated","No",1.23076923076923
"34","Male","Youths","college_educated","No",1
"35","Female","Youths","college_educated","No",1.92307692307692
"36","Male","Youths","college_educated","No",2.15384615384615
"37","Female","Youths","college_educated","Yes",1.23076923076923
"38","Female","Youths","college_educated","No",0.461538461538462
"39","Male","Adults","college_educated","No",0.923076923076923
"40","Female","Youths","college_educated","No",2
"41","Male","Adults","college_educated","No",1.76923076923077
"42","Male","Youths","college_educated","No",0.923076923076923
"43","Female","Adults","college_educated","No",1.61538461538462
"44","Male","Youths","college_educated","No",1
"45","Male","Youths","college_educated","Yes",1.15384615384615
"46","Male","Adults","college_educated","No",1.23076923076923
"47","Male","Youths","college_educated","No",0.307692307692308
"48","Male","Adults","college_educated","Yes",2.46153846153846
"49","Male","Adults","college_educated","No",0.769230769230769
"50","Female","Adults","college_educated","No",0.384615384615385
"51","Male","Adults","college_educated","No",0.692307692307692
"52","Female","Youths","college_educated","Yes",0.461538461538462
"53","Male","Youths","college_educated","No",1.07692307692308
"54","Female","Youths","college_educated","Yes",1.23076923076923
"55","Female","Youths","college_educated","No",1.53846153846154
"56","Male","Adults","college_educated","No",1.23076923076923
"57","Male","Elderly","college_educated","No",1.30769230769231
"58","Male","Youths","college_educated","No",0.615384615384615
"59","Male","Adults","college_educated","No",1.61538461538462
"60","Female","Adults","college_educated","No",1.61538461538462
"61","Female","Adults","college_educated","Yes",0.769230769230769
"62","Female","Adults","college_educated","No",1.84615384615385
"63","Male","Adults","college_educated","No",0.692307692307692
"64","Female","Youths","college_educated","No",1.53846153846154
"65","Female","Youths","college_educated","No",3.07692307692308
"66","Male","Youths","college_educated","No",1.69230769230769
"67","Male","Adults","college_educated","No",1.92307692307692
"68","Male","Elderly","college_educated","No",1.61538461538462
"69","Male","Youths","college_educated","No",0.538461538461538
